num_blocks,tflops_per_sec
36,0.898742
72,3.30975
108,4.3931
144,5.80817
180,6.76735
216,8.05859
252,8.00195
288,9.2676
324,7.69401
360,8.63114
396,8.98796
432,10.9783
468,11.1091
504,11.805
540,10.999
576,11.7013
612,11.3135
648,11.0023
684,11.5521
720,12.034
756,11.6361
792,12.1929
828,11.7404
864,11.8019
900,11.8802
936,11.7397
972,12.075
1008,12.342
1044,12.086
1080,12.2338
1116,12.1729
1152,12.4601
