num_iterations,tflops_per_sec
20,1.48456
40,3.29815
60,4.81386
80,6.00962
100,6.79348
120,7.40375
140,7.68218
160,8.25082
180,8.84434
200,9.21829
300,7.3616
400,8.67453
500,7.8974
600,8.25446
700,8.57003
800,8.68056
900,8.96843
1000,9.04225
1200,9.58344
1400,9.53575
1600,9.66744
1800,9.76562
2000,9.96492
2200,9.97678
2400,9.94365
2600,10.1082
2800,10.0287
3000,10.2487
