stride,bandwidth_gbps
1,452.374
2,179.242
3,112.234
4,89.0178
5,68.0959
6,58.7866
7,48.9275
8,45.938
9,38.5035
10,36.5729
11,32.9516
12,31.249
13,29.1273
14,28.8334
15,27.0471
16,28.4434
17,25.5789
18,25.7876
19,23.696
20,24.2734
21,22.8369
22,23.1427
23,21.3655
24,22.0937
25,20.7254
26,21.7571
27,19.9939
28,20.7642
29,19.4228
30,20.3078
31,18.9755
32,21.257
