threads_per_block,tflops_per_sec
32,0.559757
64,1.67019
96,2.57261
128,3.97919
160,4.81208
192,5.77759
224,6.76964
256,7.65523
288,8.19216
320,8.93971
352,9.7896
384,10.3476
416,10.0365
448,10.8742
480,11.367
512,11.7666
544,10.8559
576,11.0409
608,11.9898
640,12.5401
672,11.2121
704,11.7641
736,12.3148
768,12.1688
800,11.2713
832,11.926
864,12.1728
896,12.6705
928,11.9167
960,11.8365
992,12.5401
1024,12.6703
